"","TYPE_OF_FILE","COUNTRY","AREA","VESSEL","GEAR","RIGGING","DOORS","YEAR","MONTH","DAY","HAUL_NUMBER","CODEND_CLOSING","PART_OF_THE_CODEND","SHOOTING_TIME","SHOOTING_QUADRANT","SHOOTING_LATITUDE","SHOOTING_LONGITUDE","SHOOTING_DEPTH","HAULING_TIME","HAULING_QUADRANT","HAULING_LATITUDE","HAULING_LONGITUDE","HAULING_DEPTH","HAUL_DURATION","VALIDITY","COURSE","RECORDED_SPECIES","DISTANCE","VERTICAL_OPENING","WING_OPENING","GEOMETRICAL_PRECISION","BRIDLES_LENGTH","WARP_LENGTH","WARP_DIAMETER","HYDROLOGICAL_STATION","OBSERVATIONS","BOTTOM_TEMPERATURE_BEGINNING","BOTTOM_TEMPERATURE_END","MEASURING_SYSTEM","NUMBER_OF_THE_STRATUM","BOTTOM_SALINITY_BEGINNING","BOTTOM_SALINITY_END","Campo43","Site","HlonDD","HlatDD","SlonDD","SlatDD","lon","lat","SWEPT_AREA","aspectEW","aspectNS","bathymetry","chl_ltmax","chl_ltmin","chl_max","chl_mean","chl_min","chl_range","Cur_incid","dfe_ltmax","dfe_ltmin","dfe_max","dfe_mean","dfe_min","dfe_range","Fishing","grain_size","log_grain","no3_ltmax","no3_ltmin","no3_max","no3_mean","no3_min","no3_range","o2_ltmax","o2_ltmin","o2_max","o2_mean","o2_min","o2_range","ph_ltmax","ph_ltmin","ph_max","ph_mean","ph_min","ph_range","phyc_ltmax","phyc_ltmin","phyc_max","phyc_mean","phyc_min","phyc_range","po4_ltmax","po4_ltmin","po4_max","po4_mean","po4_min","po4_range","si_ltmax","si_ltmin","si_max","si_mean","si_min","si_range","slope","so_ltmax","so_ltmin","so_max","so_mean","so_min","so_range","swd_ltmax","swd_ltmin","swd_max","swd_mean","swd_min","swd_range","sws_ltmax","sws_ltmin","sws_max","sws_mean","sws_min","sws_range","thetao_ltmax","thetao_ltmin","thetao_max","thetao_mean","thetao_min","thetao_range"
"1","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,5,31,1,"S","S",1125,1,3731.18,1237.4,63,1155,1,3732.33,1236.17,55,30,"V","R",3,2780,22,162,"E",100,400,14,"0",0,0,0,"0.00",13412,NA,NA,NA,"M15D7_5834",12.6028333333333,37.5388333333333,12.6233333333333,37.5196666666667,12.6130833333333,37.52925,0.045036,-0.494955211877823,-0.868918478488922,-75,0.712990939617157,0.217109680175781,0.862435340881348,0.424048125743866,0.13105908036232,0.731376230716705,9.2830810546875,0.00188459130004048,0.00128693715669215,0.00199673068709671,0.0015497311251238,0.00119404389988631,0.000802686787210405,7.79073429107666,0.386289179325104,-0.951169013977051,2.27597212791443,0.161269977688789,2.88646030426025,1.23569107055664,0.00603687111288309,2.88042330741882,244.518463134766,218.779525756836,248.553894042969,231.736129760742,210.774261474609,37.7796401977539,8.13030052185059,8.10415935516357,8.13946056365967,8.11953926086426,8.09225177764893,0.0472088009119034,2.19279146194458,0.830867052078247,2.66863417625427,1.39373207092285,0.681843638420105,1.98679065704346,0.187529444694519,0.0331039279699326,0.239530056715012,0.108424909412861,0.0205979365855455,0.218932121992111,2.10100364685059,1.61765539646149,2.26089644432068,1.87246382236481,1.52869915962219,0.732197225093842,0.313324213027954,38.1209907531738,37.6404724121094,38.2991790771484,37.875316619873,37.2670478820801,1.03213131427765,197.181869506836,102.86767578125,199.782440185547,170.716918945312,85.5753402709961,114.207099914551,0.0358185097575188,0.0493073612451553,0.0543570332229137,0.0265558417886496,0.0626988187432289,0.00834180321544409,15.9415998458862,14.4318046569824,16.482213973999,15.1256742477417,13.8220462799072,2.66016697883606
"2","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,5,31,2,"S","S",920,1,3732.36,1251.83,36,950,1,3733.69,1250.26,32,30,"V","R",3,2780,23,155,"E",100,300,14,"0",0,0,0,"0.00",13411,NA,NA,NA,"M15D7_5835",12.8376666666667,37.5615,12.8638333333333,37.5393333333333,12.85075,37.5504166666667,0.04309,-0.230312675237656,-0.97311669588089,-31,0.453301042318344,0.0799832195043564,0.552546083927155,0.177036598324776,0.0724369063973427,0.480109184980392,67.2207260131836,0.00479225069284439,0.00206876383163035,0.00567759899422526,0.00341478269547224,0.00185002048965544,0.00382757862098515,NA,0.944242775440216,-0.0573719702661037,0.680634140968323,0.0397177487611771,0.824759721755981,0.32707816362381,0.0271077062934637,0.797652006149292,248.981536865234,209.269226074219,251.138259887695,230.380065917969,204.891052246094,46.2472038269043,8.13879489898682,7.99042463302612,8.14502620697021,8.07322978973389,7.97295093536377,0.172074839472771,2.09008407592773,1.11949896812439,2.53872513771057,1.44906139373779,0.917088091373444,1.62163698673248,0.0409058965742588,3.17833946610335e-05,0.0538796596229076,0.00808458682149649,2.75727488769917e-05,0.0538520850241184,1.77863299846649,1.57281756401062,1.92655992507935,1.67129123210907,1.47477912902832,0.451780736446381,0.381121724843979,37.9120178222656,37.4877738952637,38.1257858276367,37.6954116821289,37.1664276123047,0.959360301494598,199.406051635742,77.1551971435547,207.544067382812,124.574821472168,73.4587860107422,134.085266113281,0.0804110020399094,0.0566416643559933,0.110482111573219,0.0313567295670509,0.0833056792616844,0.0271764304488897,24.4760265350342,14.1964149475098,26.3641948699951,18.827033996582,13.4368600845337,12.9273338317871
"3","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,5,31,3,"S","S",800,1,3727.6,1256.54,53,830,1,3728.49,1255.17,52,30,"V","R",3,2680,22,162,"E",100,350,14,"0",0,0,0,"0.00",13412,NA,NA,NA,"M14D7_5643",12.9195,37.4748333333333,12.9423333333333,37.46,12.9309166666667,37.4674166666667,0.043416,-0.567279756069183,-0.823525190353394,-42,0.633717596530914,0.208811938762665,0.791985869407654,0.408351719379425,0.126573920249939,0.665411949157715,106.088958740234,0.0020103226415813,0.00134912843350321,0.00214234786108136,0.00164859858341515,0.00120861490722746,0.000933732779230922,37.9434051513672,0.386289179325104,-0.951169013977051,2.50866961479187,0.134879216551781,3.29831957817078,1.32510662078857,0.00350973941385746,3.29480957984924,243.195068359375,212.942092895508,248.534225463867,228.287567138672,200.020156860352,48.5140647888184,8.12885856628418,8.10044574737549,8.1373233795166,8.11787891387939,8.08708477020264,0.0502383187413216,1.95152223110199,0.813213407993317,2.37983417510986,1.33432865142822,0.686322629451752,1.69351160526276,0.221893444657326,0.0393358543515205,0.295007228851318,0.12776318192482,0.0205817278474569,0.274425506591797,2.33062839508057,1.64563345909119,2.58231782913208,2.00278425216675,1.54058039188385,1.04173743724823,0.0621798411011696,38.1339073181152,37.6375961303711,38.3229293823242,37.8746147155762,37.1937294006348,1.1292017698288,230.898239135742,72.356689453125,233.858642578125,73.9110412597656,69.6858139038086,164.172821044922,0.0653365328907967,0.0300695970654488,0.0966446027159691,0.0109120132401586,0.0485858991742134,0.048058707267046,15.9556369781494,14.4601726531982,16.6782894134521,15.15771484375,13.8679494857788,2.81034016609192
"4","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,5,31,4,"S","S",550,1,3719.72,1255.3,254,650,1,3721.25,1252.38,202,60,"V","R",3,5185,22,182,"E",150,1000,14,"0",0,0,0,"0.00",13414,NA,NA,NA,"M14D7_5643",12.873,37.3541666666667,12.9216666666667,37.3286666666667,12.8973333333333,37.3414166666667,0.094367,0.177071213722229,-0.984198033809662,-242,0.0270392987877131,0.0160862877964973,0.0357029363512993,0.0197462178766727,0.0119997449219227,0.0237031914293766,10.7119750976562,0.00144760031253099,0.00120094849262387,0.00155006255954504,0.00129909173119813,0.00113479176070541,0.000415270915254951,133.592041015625,0.0924354866147041,-2.38124442100525,4.77423620223999,4.44363117218018,5.08117771148682,4.60060739517212,3.90987229347229,1.17130541801453,196.957229614258,192.616989135742,202.160293579102,194.932540893555,189.69758605957,12.4627075195312,8.10258197784424,8.09576988220215,8.10964679718018,8.09990215301514,8.08657646179199,0.0230703968554735,0.0684463903307915,0.0412082485854626,0.0910715013742447,0.0503049083054066,0.0321541056036949,0.0589173957705498,0.322945564985275,0.296911031007767,0.347994059324265,0.308681786060333,0.267427295446396,0.0805667489767075,3.37696099281311,2.95289874076843,3.66278529167175,3.2044951915741,2.51435208320618,1.14843308925629,0.404162406921387,38.7702178955078,38.677417755127,38.8313179016113,38.7361335754395,38.5923843383789,0.238932892680168,242.859802246094,64.2562713623047,246.457366943359,169.288024902344,59.2027282714844,187.254638671875,0.00802106969058514,0.00912074651569128,0.0148821584880352,0.000499504851177335,0.0178637020289898,0.00298154260963202,14.5253734588623,14.2821779251099,14.7306823730469,14.3945779800415,14.0680332183838,0.66264945268631
"5","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,5,31,5,"S","S",320,1,3717.82,1247.39,217,420,1,3719.74,1244.99,208,60,"V","R",3,5090,22,182,"E",150,850,14,"0",0,0,0,"0.00",13415,NA,NA,NA,"M14D7_5643",12.7498333333333,37.329,12.7898333333333,37.297,12.7698333333333,37.313,0.092638,0.545044958591461,-0.8384068608284,-225,0.0330193191766739,0.0196180902421474,0.043784748762846,0.0242252461612225,0.0151082212105393,0.0286765284836292,-64.4528198242188,0.00176747585646808,0.00143146049231291,0.00188673252705485,0.00158853305038065,0.00133240735158324,0.000554325175471604,112.121688842773,0.0924354866147041,-2.38124442100525,4.7420220375061,4.33289098739624,5.04565906524658,4.53441143035889,3.70021724700928,1.34544193744659,197.55029296875,191.9921875,203.523025512695,194.780288696289,188.42951965332,15.0934963226318,8.10264873504639,8.09481620788574,8.11100482940674,8.09935283660889,8.08563995361328,0.0253649186342955,0.0834492594003677,0.0502670556306839,0.110746219754219,0.0615863837301731,0.0395452044904232,0.0712010115385056,0.328169852495193,0.293914526700974,0.357933878898621,0.310545444488525,0.260500878095627,0.0974330306053162,3.31124114990234,2.87476754188538,3.61099815368652,3.12627267837524,2.5075409412384,1.10345709323883,0.294944494962692,38.752498626709,38.622688293457,38.8375282287598,38.7032814025879,38.509334564209,0.32819452881813,247.202178955078,67.6026306152344,248.178787231445,221.845703125,57.7881851196289,190.390594482422,0.00801876559853554,0.0128493877127767,0.0139541430398822,0.00177288462873548,0.0192159675061703,0.00526182586327195,14.6626739501953,14.3099565505981,14.9049224853516,14.4892263412476,13.9937448501587,0.911178290843964
"6","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,6,2,6,"S","S",355,1,3708.85,1257.74,335,455,1,3705.95,1258.69,324,60,"V","R",3,5556,22,182,"E",150,1300,14,"0",0,0,0,"0.00",13414,NA,NA,NA,"M14D7_5451",12.9781666666667,37.0991666666667,12.9623333333333,37.1475,12.97025,37.1233333333333,0.1011192,0.993529558181763,-0.113574042916298,-341,0.00985698122531176,0.00879237335175276,0.0111741563305259,0.00927717052400112,0.00775950076058507,0.00341465510427952,172.852981567383,0.00137534039095044,0.00120340823195875,0.00144860194995999,0.00127820065245032,0.00114807859063148,0.000300523388432339,36.8972587585449,0.0924354866147041,-2.38124442100525,4.59877729415894,4.32006549835205,4.80328845977783,4.45474195480347,3.99143743515015,0.811851322650909,200.790496826172,196.957290649414,204.857467651367,199.013153076172,194.380813598633,10.4766731262207,8.10659694671631,8.10261058807373,8.11279773712158,8.10469532012939,8.09949779510498,0.0133002484217286,0.0268734376877546,0.0238632801920176,0.0293831527233124,0.0251773837953806,0.0219985656440258,0.00738458754494786,0.293406993150711,0.270407676696777,0.315892577171326,0.280132502317429,0.255086600780487,0.0608059652149677,3.88382291793823,3.62013554573059,4.09009408950806,3.75341749191284,3.34162664413452,0.748467624187469,0.715031325817108,38.8022041320801,38.7470474243164,38.8455467224121,38.7768249511719,38.6591033935547,0.186442852020264,247.832107543945,72.0304107666016,260.969055175781,243.365798950195,65.0464096069336,195.922653198242,0.00521236658096313,0.00660294480621815,0.0142682045698166,0.000511747668497264,0.0115144746378064,0.00275372946634889,14.3114881515503,14.1528806686401,14.5951890945435,14.2246923446655,13.9736614227295,0.621526598930359
"7","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,6,1,7,"S","S",1412,1,3701.15,1248.96,389,1512,1,3703.69,1250.09,400,60,"V","R",3,5371,22,182,"E",150,1300,14,"0",0,0,0,"0.00",13414,NA,NA,NA,"M14D7_5451",12.8348333333333,37.0615,12.816,37.0191666666667,12.8254166666667,37.0403333333333,0.0977522,-0.960124492645264,0.279572874307632,-378,0.00876128766685724,0.00802269671112299,0.00975218042731285,0.00838569086045027,0.00705333659425378,0.00269884360022843,102.537628173828,0.00142825790680945,0.0012744830455631,0.00149524677544832,0.00134039658587426,0.00122112024109811,0.000274126592557877,74.5529251098633,0.0924354866147041,-2.38124442100525,4.74501085281372,4.49135589599609,4.9126296043396,4.63209342956543,4.14597225189209,0.766656994819641,199.449096679688,196.082168579102,203.428085327148,197.663940429688,193.613098144531,9.8149881362915,8.10333347320557,8.09950351715088,8.10945606231689,8.10116004943848,8.09718132019043,0.0122754387557507,0.0240940786898136,0.0218009706586599,0.0255981255322695,0.0228223334997892,0.0200404804199934,0.0055576441809535,0.294566988945007,0.274305939674377,0.311702072620392,0.283913642168045,0.259561151266098,0.0521409437060356,4.07175445556641,3.78208875656128,4.3319845199585,3.92735052108765,3.55865859985352,0.773326098918915,0.750683069229126,38.8077354431152,38.7420883178711,38.847412109375,38.7786750793457,38.6233825683594,0.224028155207634,246.060485839844,70.7800827026367,271.661285400391,225.575286865234,47.2289924621582,224.432281494141,0.00805595703423023,0.0153862778097391,0.0286533143371344,0.00382285448722541,0.0309002865105867,0.00224722782149911,14.2930755615234,14.1270036697388,14.5633144378662,14.2104063034058,13.9176769256592,0.64563775062561
"8","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,6,1,8,"S","S",1210,1,3658.65,1245.39,387,1310,1,3701.35,1246.47,375,60,"V","R",3,5370,22,182,"E",150,1300,14,"0",0,0,0,"0.00",13414,NA,NA,NA,"M13D7_5259",12.7745,37.0225,12.7565,36.9775,12.7655,37,0.097734,0.99675726890564,0.0804672464728355,-381,0.0100589860230684,0.00896913930773735,0.0111306179314852,0.00946739315986633,0.00797190237790346,0.00315871508792043,-47.7958526611328,0.00127611763309687,0.00113356311339885,0.00133016030304134,0.00119333842303604,0.00108336238190532,0.000246797862928361,84.7214508056641,0.0924354866147041,-2.38124442100525,4.48130226135254,4.18739557266235,4.6669807434082,4.34423971176147,3.83863544464111,0.8283451795578,202.865356445312,199.013519287109,207.210754394531,200.907958984375,196.622604370117,10.5881586074829,8.10803508758545,8.10370826721191,8.11447334289551,8.1057300567627,8.10063457489014,0.0138380350545049,0.0278879962861538,0.0244108531624079,0.0301875453442335,0.0258668474853039,0.0225724074989557,0.00761513784527779,0.279988795518875,0.258045524358749,0.298282980918884,0.267773449420929,0.24301141500473,0.0552715845406055,3.79127240180969,3.5473256111145,3.99498391151428,3.67389392852783,3.2846531867981,0.710330784320831,0.534144878387451,38.8157615661621,38.738037109375,38.856632232666,38.7824325561523,38.5739860534668,0.282645732164383,254.246246337891,73.7365798950195,284.126068115234,227.795852661133,40.7728691101074,243.35319519043,0.013246756978333,0.0264182668179274,0.0548811443150043,0.00852748099714518,0.0523697808384895,0.00251140142790973,14.2772102355957,14.0893392562866,14.5218114852905,14.1918039321899,13.8399963378906,0.681815445423126
"9","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,6,1,9,"S","S",810,1,3713.79,1236.42,157,840,1,3712.2,1236.53,169,30,"V","R",3,2963,22,175,"E",100,700,14,"0",0,0,0,"0.00",13413,NA,NA,NA,"M14D7_5450",12.6088333333333,37.2033333333333,12.607,37.2298333333333,12.6079166666667,37.2165833333333,0.0518525,0.772638618946075,-0.634846091270447,-159,0.0590590126812458,0.0319678820669651,0.0826496928930283,0.0431427396833897,0.025738412514329,0.0569112822413445,-26.4135131835938,0.00158412742894143,0.00132503604982048,0.00166418089065701,0.00145202106796205,0.00121508399024606,0.00044909690041095,38.0219802856445,0.0924354866147041,-2.38124442100525,4.48203563690186,3.89236998558044,4.79052352905273,4.18889808654785,2.99007320404053,1.8004504442215,202.372253417969,195.910095214844,211.839553833008,199.031311035156,192.503128051758,19.3364295959473,8.10635948181152,8.09707260131836,8.11793422698975,8.10210990905762,8.09001445770264,0.0279203318059444,0.14990071952343,0.0825150683522224,0.209507688879967,0.109982751309872,0.0677736774086952,0.141734004020691,0.304456442594528,0.26508030295372,0.327109307050705,0.284311294555664,0.215803653001785,0.111305668950081,2.91008758544922,2.57359004020691,3.14842462539673,2.76774168014526,2.33209347724915,0.816331207752228,0.248717904090881,38.7394256591797,38.5602989196777,38.8542976379395,38.666187286377,38.453670501709,0.400627940893173,218.364761352539,37.0913276672363,220.319946289062,206.413513183594,32.8631210327148,187.456832885742,0.00883783027529716,0.0153491999953985,0.0173529703170061,0.00320319947786629,0.0246623158454895,0.00730934366583824,14.8091096878052,14.364782333374,15.1067380905151,14.5673027038574,14.08864402771,1.01809406280518
"10","TA","ITA",16,"SAN","GOC73","GC73","WHS8",2000,6,1,10,"S","S",629,1,3723.09,1231.79,151,659,1,3721.69,1232.86,160,30,"V","R",3,3148,22,175,"E",100,700,14,"0",0,0,0,"0.00",13413,NA,NA,NA,"M14D7_5642",12.5476666666667,37.3615,12.5298333333333,37.3848333333333,12.53875,37.3731666666667,0.05509,0.141893774271011,-0.989881873130798,-160,0.0849979072809219,0.0419927574694157,0.113455750048161,0.0588168427348137,0.0329316407442093,0.0805241018533707,-49.7113037109375,0.00224186340346932,0.00170244718901813,0.00238392339088023,0.00197675940580666,0.00151342467870563,0.000870498712174594,42.2765960693359,0.0924354866147041,-2.38124442100525,4.43954229354858,3.77354955673218,4.78277492523193,4.10218524932861,2.83894562721252,1.9438294172287,202.646270751953,194.239944458008,211.923614501953,198.452728271484,189.277084350586,22.6465396881104,8.10599422454834,8.09479522705078,8.11805152893066,8.10080432891846,8.08688354492188,0.0311683788895607,0.215929955244064,0.107699416577816,0.287930846214294,0.149839878082275,0.0878789573907852,0.200051873922348,0.317427664995193,0.263801068067551,0.350337117910385,0.289422512054443,0.211852878332138,0.138484239578247,2.93549752235413,2.52661919593811,3.21614170074463,2.74819231033325,2.31038618087769,0.905755519866943,0.293275058269501,38.7183418273926,38.4629592895508,38.8508377075195,38.6042137145996,38.3574600219727,0.493375539779663,233.905502319336,14.4424810409546,252.944091796875,229.711303710938,9.2991189956665,243.644973754883,0.00942724198102951,0.0148436399176717,0.0174643453210592,0.0042500221170485,0.0248082038015127,0.00734385987743735,14.9930210113525,14.488224029541,15.483829498291,14.7085275650024,14.1398096084595,1.34401977062225
